17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:184
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:167
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:139
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:143
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:161
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:231
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:181
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:129
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:162
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:10
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:106
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:97
17:26:20.612 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:104
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:108
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:97
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:107
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:100
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:105
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:117
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:105
17:26:20.613 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:119
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:114
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:97
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:115
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:64
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:51
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:50
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:42
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
17:26:20.614 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:38
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:42
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:64
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:128
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:226
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:166
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:191
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:42
17:26:20.615 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:226
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:166
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:128
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:129
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:64
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.616 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:137
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:129
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:137
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:42
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
17:26:20.617 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:129
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:165
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:10
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:137
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:230
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:139
17:26:20.618 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:144
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:231
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:132
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:133
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:129
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:161
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:232
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:190
17:26:20.619 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:187
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:228
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:188
